Variables="x""dx"
Zone t="         0"
i=  65
 -2.000000000000000e+00   2.662719504358602e-01
 -1.733728049564140e+00   2.508963483540092e-01
 -1.482831701210131e+00   2.223488512266776e-01
 -1.260482849983453e+00   1.812869242149768e-01
 -1.079195925768476e+00   1.262657455300628e-01
 -9.529301802384135e-01   5.839574860725538e-02
 -8.945344316311581e-01   5.183012318816160e-02
 -8.427043084429965e-01   4.564135452201346e-02
 -7.970629539209830e-01   4.197088923126358e-02
 -7.550920646897195e-01   3.897156427612614e-02
 -7.161205004135933e-01   3.558281063369417e-02
 -6.805376897798992e-01   3.275834421535384e-02
 -6.477793455645453e-01   3.109542072709182e-02
 -6.166839248374535e-01   3.006096033157280e-02
 -5.866229645058807e-01   2.918675221210110e-02
 -5.574362122937796e-01   2.863305885539080e-02
 -5.288031534383888e-01   2.865006351753696e-02
 -5.001530899208518e-01   2.913428433538656e-02
 -4.710188055854653e-01   2.977120029499081e-02
 -4.412476052904745e-01   3.045852369933544e-02
 -4.107890815911390e-01   3.140668551297732e-02
 -3.793823960781617e-01   3.262297143747650e-02
 -3.467594246406852e-01   3.362026987970046e-02
 -3.131391547609848e-01   3.414099744533683e-02
 -2.789981573156479e-01   3.466485175824463e-02
 -2.443333055574033e-01   3.541828946903403e-02
 -2.089150160883693e-01   3.561921822352610e-02
 -1.732957978648432e-01   3.491709555600697e-02
 -1.383787023088362e-01   3.462798709366910e-02
 -1.037507152151671e-01   3.551809156560637e-02
 -6.823262364956073e-02   3.537874553090459e-02
 -3.285387811865614e-02   3.288413665064893e-02
  3.025853199278838e-05   3.132595736327037e-02
  3.135621589526316e-02   3.297138135784494e-02
  6.432759725310810e-02   3.487267935803362e-02
  9.920027661114172e-02   3.596962127417502e-02
  1.351698978853168e-01   3.635922598161601e-02
  1.715291238669328e-01   3.636358275371521e-02
  2.078927066206480e-01   3.611144612842943e-02
  2.440041527490774e-01   3.555394095547915e-02
  2.795580937045565e-01   3.471650975278751e-02
  3.142746034573440e-01   3.374513101777621e-02
  3.480197344751203e-01   3.267305939804421e-02
  3.806927938731645e-01   3.145679725319350e-02
  4.121495911263580e-01   3.030378374214315e-02
  4.424533748685011e-01   2.951989815185718e-02
  4.719732730203583e-01   2.900766930109100e-02
  5.009809423214493e-01   2.853126612467893e-02
  5.295122084461282e-01   2.841611615615391e-02
  5.579283246022821e-01   2.910072896345206e-02
  5.870290535657342e-01   3.016106313941158e-02
  6.171901167051458e-01   3.106098828768011e-02
  6.482511049928259e-01   3.260438614212180e-02
  6.808554911349477e-01   3.574733068613756e-02
  7.166028218210853e-01   3.935829422343595e-02
  7.559611160445212e-01   4.199583758245540e-02
  7.979569536269766e-01   4.549492145665601e-02
  8.434518750836326e-01   5.211068056115997e-02
  8.955625556447926e-01   5.841376831222767e-02
  9.539763239570203e-01   1.266279569266637e-01
  1.080604280883684e+00   1.806931488165828e-01
  1.261297429700267e+00   2.221972865167674e-01
  1.483494716217034e+00   2.507264611756113e-01
  1.734221177392646e+00   2.657788226073545e-01
  2.000000000000000e+00   0.000000000000000e+00
Zone t="         0"
i=  65
 -2.000000000000000e+00   2.662719504358602e-01
 -1.733728049564140e+00   2.508963483540092e-01
 -1.482831701210131e+00   2.223488512266776e-01
 -1.260482849983453e+00   1.812869242149768e-01
 -1.079195925768476e+00   1.262657455300628e-01
 -9.529301802384135e-01   5.839574860725538e-02
 -8.945344316311581e-01   5.183012318816160e-02
 -8.427043084429965e-01   4.564135452201346e-02
 -7.970629539209830e-01   4.197088923126358e-02
 -7.550920646897195e-01   3.897156427612614e-02
 -7.161205004135933e-01   3.558281063369417e-02
 -6.805376897798992e-01   3.275834421535384e-02
 -6.477793455645453e-01   3.109542072709182e-02
 -6.166839248374535e-01   3.006096033157280e-02
 -5.866229645058807e-01   2.918675221210110e-02
 -5.574362122937796e-01   2.863305885539080e-02
 -5.288031534383888e-01   2.865006351753696e-02
 -5.001530899208518e-01   2.913428433538656e-02
 -4.710188055854653e-01   2.977120029499081e-02
 -4.412476052904745e-01   3.045852369933544e-02
 -4.107890815911390e-01   3.140668551297732e-02
 -3.793823960781617e-01   3.262297143747650e-02
 -3.467594246406852e-01   3.362026987970046e-02
 -3.131391547609848e-01   3.414099744533683e-02
 -2.789981573156479e-01   3.466485175824463e-02
 -2.443333055574033e-01   3.541828946903403e-02
 -2.089150160883693e-01   3.561921822352610e-02
 -1.732957978648432e-01   3.491709555600697e-02
 -1.383787023088362e-01   3.462798709366910e-02
 -1.037507152151671e-01   3.551809156560637e-02
 -6.823262364956073e-02   3.537874553090459e-02
 -3.285387811865614e-02   3.288413665064893e-02
  3.025853199278838e-05   3.132595736327037e-02
  3.135621589526316e-02   3.297138135784494e-02
  6.432759725310810e-02   3.487267935803362e-02
  9.920027661114172e-02   3.596962127417502e-02
  1.351698978853168e-01   3.635922598161601e-02
  1.715291238669328e-01   3.636358275371521e-02
  2.078927066206480e-01   3.611144612842943e-02
  2.440041527490774e-01   3.555394095547915e-02
  2.795580937045565e-01   3.471650975278751e-02
  3.142746034573440e-01   3.374513101777621e-02
  3.480197344751203e-01   3.267305939804421e-02
  3.806927938731645e-01   3.145679725319350e-02
  4.121495911263580e-01   3.030378374214315e-02
  4.424533748685011e-01   2.951989815185718e-02
  4.719732730203583e-01   2.900766930109100e-02
  5.009809423214493e-01   2.853126612467893e-02
  5.295122084461282e-01   2.841611615615391e-02
  5.579283246022821e-01   2.910072896345206e-02
  5.870290535657342e-01   3.016106313941158e-02
  6.171901167051458e-01   3.106098828768011e-02
  6.482511049928259e-01   3.260438614212180e-02
  6.808554911349477e-01   3.574733068613756e-02
  7.166028218210853e-01   3.935829422343595e-02
  7.559611160445212e-01   4.199583758245540e-02
  7.979569536269766e-01   4.549492145665601e-02
  8.434518750836326e-01   5.211068056115997e-02
  8.955625556447926e-01   5.841376831222767e-02
  9.539763239570203e-01   1.266279569266637e-01
  1.080604280883684e+00   1.806931488165828e-01
  1.261297429700267e+00   2.221972865167674e-01
  1.483494716217034e+00   2.507264611756113e-01
  1.734221177392646e+00   2.657788226073545e-01
  2.000000000000000e+00   0.000000000000000e+00
Zone t="         1"
i=  65
 -2.000000000000000e+00   2.644660394137091e-01
 -1.735533960586291e+00   2.491947182127683e-01
 -1.486339242373523e+00   2.208408367976753e-01
 -1.265498405575847e+00   1.800574012491212e-01
 -1.085441004326726e+00   1.254093888930069e-01
 -9.600316154337193e-01   5.799970194886572e-02
 -9.020319134848536e-01   5.147860611624566e-02
 -8.505533073686079e-01   4.533181110711493e-02
 -8.052214962614930e-01   4.168623975884755e-02
 -7.635352565026454e-01   3.870725691758592e-02
 -7.248279995850595e-01   3.534148658423963e-02
 -6.894865130008199e-01   3.253617634883232e-02
 -6.569503366519875e-01   3.088453119135159e-02
 -6.260658054606360e-01   2.985708674491472e-02
 -5.962087187157212e-01   2.898880770661505e-02
 -5.672199110091062e-01   2.843886962600195e-02
 -5.387810413831042e-01   2.845575895860553e-02
 -5.103252824244987e-01   2.893669567914436e-02
 -4.813885867453543e-01   2.956929192775726e-02
 -4.518192948175971e-01   3.025195374618794e-02
 -4.215673410714091e-01   3.119368490764241e-02
 -3.903736561637667e-01   3.240172170036948e-02
 -3.579719344633973e-01   3.339225623445297e-02
 -3.245796782289443e-01   3.390945210559204e-02
 -2.906702261233523e-01   3.442975351768163e-02
 -2.562404726056706e-01   3.517808124007749e-02
 -2.210623913655931e-01   3.537764724939707e-02
 -1.856847441161961e-01   3.468028653980815e-02
 -1.510044575763879e-01   3.439313887776707e-02
 -1.166113186986209e-01   3.527720645580357e-02
 -8.133411224281728e-02   3.513880549806003e-02
 -4.619530674475725e-02   3.266111563080798e-02
 -1.353419111394927e-02   3.111350427487203e-02
  1.757931316092276e-02   4.608984283189188e-02
  6.366915599281464e-02   3.680363150120380e-02
  1.004727874940185e-01   3.785684891152952e-02
  1.383296364055480e-01   3.761616850024963e-02
  1.759458049057976e-01   3.699438131061394e-02
  2.129401862164115e-01   3.602850082881859e-02
  2.489686870452301e-01   3.531281270684261e-02
  2.842814997520727e-01   3.467155729781057e-02
  3.189530570498833e-01   3.375257954076227e-02
  3.527056365906456e-01   3.245146995283177e-02
  3.851571065434774e-01   3.125121166919065e-02
  4.164083182126680e-01   3.074146922701260e-02
  4.471497874396806e-01   2.979673674136552e-02
