Variables="x""dx"
Zone t="         0"
i=  65
 -2.000000000000000e+00   1.005091807805520e+00
 -9.949081921944795e-01   8.162535034797691e-03
 -9.867456571596818e-01   4.943489453807193e-02
 -9.373107626216098e-01   5.140844495013119e-02
 -8.859023176714787e-01   4.348548017103004e-02
 -8.424168375004486e-01   3.678554715260440e-02
 -8.056312903478442e-01   3.375546525799589e-02
 -7.718758250898483e-01   3.217293054790849e-02
 -7.397028945419398e-01   3.082200889256381e-02
 -7.088808856493760e-01   2.966075977939842e-02
 -6.792201258699776e-01   2.878816986337862e-02
 -6.504319560065990e-01   2.815563362563078e-02
 -6.222763223809682e-01   2.768455667295700e-02
 -5.945917657080112e-01   2.734749344065868e-02
 -5.672442722673525e-01   2.714147081803120e-02
 -5.401028014493213e-01   2.704735061933017e-02
 -5.130554508299912e-01   2.703270441334105e-02
 -4.860227464166501e-01   2.711219594530534e-02
 -4.589105504713448e-01   2.728542142176083e-02
 -4.316251290495839e-01   2.757488694929344e-02
 -4.040502421002905e-01   2.807668300873067e-02
 -3.759735590915598e-01   2.888574494492324e-02
 -3.470878141466366e-01   2.989715403336202e-02
 -3.171906601132746e-01   3.075665210429923e-02
 -2.864340080089753e-01   3.133487648820976e-02
 -2.550991315207656e-01   3.249561057445760e-02
 -2.226035209463080e-01   3.614848241259117e-02
 -1.864550385337168e-01   4.400964759507353e-02
 -1.424453909386433e-01   5.303401850281719e-02
 -8.941137243582609e-02   5.079996457213698e-02
 -3.861140786368911e-02   7.297443052612040e-02
  3.436302266243130e-02   4.496448721949575e-02
  7.932750988192705e-02   5.160185100351000e-02
  1.309293608854371e-01   4.312181675624449e-02
  1.740511776416815e-01   3.370382598803634e-02
  2.077550036297179e-01   2.959229590584023e-02
  2.373472995355581e-01   2.878404425447401e-02
  2.661313437900321e-01   2.863795618495835e-02
  2.947692999749905e-01   2.789869705284498e-02
  3.226679970278354e-01   2.678729279237224e-02
  3.494552898202077e-01   2.586498028494244e-02
  3.753202701051501e-01   2.530258237448235e-02
  4.006228524796325e-01   2.496537737738991e-02
  4.255882298570224e-01   2.471351542322497e-02
  4.503017452802474e-01   2.451915302253771e-02
  4.748208983027851e-01   2.440986952931534e-02
  4.992307678321004e-01   2.438329064335298e-02
  5.236140584754534e-01   2.440637595836981e-02
  5.480204344338232e-01   2.450502096511853e-02
  5.725254553989417e-01   2.469988354237074e-02
  5.972253389413125e-01   2.499278510264813e-02
  6.222181240439606e-01   2.538173637630870e-02
  6.475998604202693e-01   2.587642108582688e-02
  6.734762815060962e-01   2.651211545258847e-02
