Variables="x""x_xi"
Zone t="         0"
i= 129
 -4.000000000000000e+00   6.250000000000111e-02 
 -3.937499999999999e+00   6.250000000000155e-02 
 -3.874999999999997e+00   6.250000000000155e-02 
 -3.812499999999996e+00   6.250000000000133e-02 
 -3.749999999999994e+00   6.250000000000178e-02 
 -3.687499999999992e+00   6.250000000000155e-02 
 -3.624999999999991e+00   6.250000000000155e-02 
 -3.562499999999989e+00   6.250000000000133e-02 
 -3.499999999999988e+00   6.250000000000067e-02 
 -3.437499999999988e+00   6.250000000000133e-02 
 -3.374999999999986e+00   6.250000000000044e-02 
 -3.312499999999987e+00   6.250000000000178e-02 
 -3.249999999999982e+00   6.250000000000289e-02 
 -3.187499999999981e+00   6.250000000000133e-02 
 -3.124999999999980e+00   6.250000000000044e-02 
 -3.062499999999980e+00   6.250000000000067e-02 
 -2.999999999999978e+00   6.250000000000244e-02 
 -2.937499999999975e+00   6.250000000000133e-02 
 -2.874999999999976e+00   6.250000000000000e-02 
 -2.812499999999975e+00   6.250000000000133e-02 
 -2.749999999999973e+00   6.250000000000089e-02 
 -2.687499999999973e+00   6.250000000000111e-02 
 -2.624999999999971e+00   6.250000000000089e-02 
 -2.562499999999972e+00   6.249999999999956e-02 
 -2.499999999999972e+00   6.249999999999867e-02 
 -2.437499999999974e+00   6.249999999999956e-02 
 -2.374999999999972e+00   6.250000000000178e-02 
 -2.312499999999971e+00   6.250000000000067e-02 
 -2.249999999999971e+00   6.249999999999956e-02 
 -2.187499999999972e+00   6.249999999999956e-02 
 -2.124999999999972e+00   6.250000000000000e-02 
 -2.062499999999972e+00   6.249999999999956e-02 
 -1.999999999999973e+00   6.249999999999933e-02 
 -1.937499999999973e+00   6.249999999999845e-02 
 -1.874999999999976e+00   6.249999999999867e-02 
 -1.812499999999976e+00   6.250000000000133e-02 
 -1.749999999999973e+00   6.249999999999911e-02 
 -1.687499999999977e+00   6.249999999999933e-02 
 -1.624999999999975e+00   6.250000000000133e-02 
 -1.562499999999975e+00   6.249999999999811e-02 
 -1.499999999999978e+00   6.249999999999900e-02 
 -1.437499999999977e+00   6.250000000000078e-02 
 -1.374999999999977e+00   6.249999999999833e-02 
 -1.312499999999980e+00   6.249999999999889e-02 
 -1.249999999999979e+00   6.250000000000000e-02 
 -1.187499999999980e+00   6.249999999999922e-02 
 -1.124999999999981e+00   6.249999999999833e-02 
 -1.062499999999983e+00   6.249999999999911e-02 
 -9.999999999999825e-01   6.249999999999933e-02 
 -9.374999999999847e-01   6.249999999999956e-02 
 -8.749999999999833e-01   6.250000000000000e-02 
 -8.124999999999847e-01   6.249999999999900e-02 
 -7.499999999999853e-01   6.249999999999933e-02 
 -6.874999999999860e-01   6.249999999999889e-02 
 -6.249999999999876e-01   6.249999999999900e-02 
 -5.624999999999880e-01   6.249999999999956e-02 
 -4.999999999999885e-01   6.249999999999978e-02 
 -4.374999999999885e-01   6.249999999999933e-02 
 -3.749999999999898e-01   6.249999999999933e-02 
 -3.124999999999898e-01   6.249999999999933e-02 
 -2.499999999999911e-01   6.249999999999867e-02 
 -1.874999999999925e-01   6.249999999999845e-02 
 -1.249999999999942e-01   6.249999999999922e-02 
 -6.249999999999400e-02   6.250000000000011e-02 
  5.995204332975845e-15   6.250000000000056e-02 
  6.250000000000711e-02   6.249999999999967e-02 
  1.250000000000053e-01   6.249999999999911e-02 
  1.875000000000053e-01   6.250000000000022e-02 
  2.500000000000058e-01   6.250000000000022e-02 
  3.125000000000058e-01   6.249999999999956e-02 
  3.750000000000049e-01   6.249999999999956e-02 
  4.375000000000049e-01   6.249999999999956e-02 
  5.000000000000040e-01   6.249999999999933e-02 
  5.625000000000036e-01   6.249999999999978e-02 
  6.250000000000036e-01   6.249999999999978e-02 
  6.875000000000031e-01   6.250000000000000e-02 
  7.500000000000036e-01   6.249999999999889e-02 
  8.125000000000009e-01   6.249999999999800e-02 
  8.749999999999996e-01   6.249999999999956e-02 
  9.375000000000000e-01   6.249999999999933e-02 
  9.999999999999982e-01   6.249999999999978e-02 
  1.062500000000000e+00   6.249999999999933e-02 
  1.124999999999997e+00   6.249999999999922e-02 
  1.187499999999998e+00   6.250000000000011e-02 
  1.249999999999997e+00   6.249999999999967e-02 
  1.312499999999997e+00   6.249999999999956e-02 
  1.374999999999996e+00   6.249999999999878e-02 
  1.437499999999995e+00   6.249999999999878e-02 
  1.499999999999994e+00   6.250000000000000e-02 
  1.562499999999995e+00   6.250000000000000e-02 
  1.624999999999994e+00   6.249999999999956e-02 
  1.687499999999994e+00   6.249999999999978e-02 
  1.749999999999993e+00   6.250000000000011e-02 
  1.812499999999994e+00   6.250000000000067e-02 
  1.874999999999995e+00   6.250000000000022e-02 
  1.937499999999995e+00   6.249999999999956e-02 
  1.999999999999994e+00   6.250000000000044e-02 
  2.062499999999996e+00   6.250000000000022e-02 
  2.124999999999994e+00   6.249999999999911e-02 
  2.187499999999994e+00   6.249999999999978e-02 
  2.249999999999994e+00   6.250000000000044e-02 
  2.312499999999995e+00   6.250000000000000e-02 
  2.374999999999994e+00   6.250000000000000e-02 
  2.437499999999995e+00   6.250000000000000e-02 
  2.499999999999994e+00   6.249999999999911e-02 
  2.562499999999993e+00   6.250000000000022e-02 
  2.624999999999994e+00   6.250000000000000e-02 
  2.687499999999993e+00   6.249999999999978e-02 
  2.749999999999994e+00   6.250000000000044e-02 
  2.812499999999994e+00   6.249999999999956e-02 
  2.874999999999993e+00   6.249999999999911e-02 
  2.937499999999992e+00   6.249999999999911e-02 
  2.999999999999991e+00   6.250000000000000e-02 
  3.062499999999992e+00   6.250000000000022e-02 
